Day fraction since midnight on 	Photometer (mg/L)	Run Pump ()
0.640525146	1.347060919	1
0.640583016	1.26193428	1
0.640640871	1.201253772	1
0.640698754	1.197853923	1
0.640756615	1.185187459	1
0.640814494	1.181215167	1
0.640872366	1.207635999	1
0.640930225	1.190064311	1
0.640988111	1.121153593	1
0.641045971	1.103123784	1
0.64110385	1.117932916	1
0.641161718	1.109851956	1
0.641219576	1.085443854	1
0.64127745	1.081911802	1
0.641335333	1.094025731	1
0.641393185	1.104149461	1
0.641451064	1.093013406	1
0.641508934	1.097193003	1
0.641566809	1.09628284	1
0.641624672	1.087808609	1
0.641682538	1.099931598	1
0.641740415	1.090003729	1
0.641798286	1.084867477	1
0.641856154	1.079152584	1
0.641914024	1.080244303	1
0.641971894	1.078282952	1
0.642029762	1.071356416	1
0.642087633	1.056410551	1
0.642145516	1.054857731	1
0.642203368	1.070594668	1
0.642261244	1.058442116	1
0.642319124	1.060180545	1
0.642376993	1.065058351	1
0.642434848	1.070234418	1
0.642492735	1.071360946	1
0.642550597	1.065469623	1
0.642608463	1.060460448	1
0.642666332	1.052768469	1
0.642724208	1.050616264	1
0.642782084	1.053900123	1
0.642839953	1.052520037	1
0.642897825	1.053693414	1
0.642955697	1.059061289	1
0.643013573	1.064125061	1
0.643071426	1.062188029	1
0.643129294	1.055387378	1
0.643187172	1.0552001	1
0.643245037	1.052329183	1
0.643302911	1.055770636	1
0.643360788	1.045318961	1
0.643418645	1.043450117	1
0.643476524	1.043707848	1
0.643534394	1.054210663	1
0.643592269	1.050758123	1
0.643650139	1.044270277	1
0.643708003	1.041886807	1
0.643765886	1.041190505	1
Stop		
